IMF MONTHLY DATA - RESERVE BANK OF AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II. Predetermined short-term net drains on foreign currency assets (nominal value),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Foreign currency loans, securities, and deposits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up to 1 month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More than 1 and up to 3 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More than 3 months and up to 1 year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outflows (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up to 1 month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More than 1 and up to 3 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More than 3 months and up to 1 year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up to 1 month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More than 1 and up to 3 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More than 3 months and up to 1 year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inflows (+),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up to 1 month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More than 1 and up to 3 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More than 3 months and up to 1 year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up to 1 month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More than 1 and up to 3 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More than 3 months and up to 1 year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Aggregate short and long positions in forwards and futures in foreign currencies vis-à-vis the domestic currency (including the forward leg of currency swaps),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Short positions ( - ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,-7910,-13511,-18954,-16099,-19706,-11692,-10653,-10420,-10582,-4400,-10061,-9632,-2053,-4144,-7755,-12366,-21120,-9261,-7146,-5126,-9900,-10199,-20603,-24703,-12720,-21337,-23410,-24647,-31068,-28815,-21169,-21044,-18989,-23752,-36858,-37039,-14655,-22274,-22851,-27328,-34493,-20021,-14789,-17075,-20305,-11778,-17959,-17737,-10406,-21018,-20185,-22623,-24971,-17755,-10554.12139,-14108,-13218.042,-15024,-24838,-26991,-17208,-28221,-22269,-2676,-280,-191,-225,-190,-257,-494,-189,-157,-299,-215,-280,-109,-224,-109,-262,-179,-307,-182,-198,-172,-1123,-1944,-2728,-2617,-2610,-2728,-2765,-5058,-6246,-6272,-6304,-6219,-6704,-5837,-6795,-6875,-6906,-6836,-6592,-6518,-5884,-6905,-7935
Up to 1 month,-2531,-1011,-11954,-4098,-7955,-6941,-4151,-413,-10167,-644,-3307,-9628,-2049,-1890,-3752,-2863,-12618,-6761,-4146,-2625,-8399,-7366,-3551,-19903,-9470,-3586,-5160,-4397,-14567,-16315,-8169,-8288,-12982,-7707,-7266,-29759,-5119,-5702,-9509,-3947,-19662,-13970,-4710,-6998,-17259,-8233,-6405,-13703,-6878,-13477,-8366,-6021,-13402,-17222,-5718.389837,-9070,-13190.25747,-5727,-5515,-19458,-9682,-6160,-19745,-2643,-245,-157,-203,-169,-236,-483,-174,-143,-288,-205,-267,-78,-192,-78,-236,-154,-285,-159,-180,-148,-321,-384,-401,-289,-286,-388,-413,-359,-386,-410,-430,-346,-1256,-390,-468,-549,-583,-525,-521,-1855,-606,-615,-588
More than 1 and up to 3 months,-5379,-12500,-7000,-12000,-11750,-3750,-6501,-10001,-412,-3752,-6750,-1,-2,-2252,-4002,-9503,-8502,-2501,-3000,-2501,-1501,-2833,-17052,-4800,-3250,-8250,-18250,-20250,-16500,-12500,-13001,-12752,-6003,-16045,-29591,-7279,-8782,-14053,-13320,-23359,-14807,-6028,-10045,-10043,-3030,-3530,-11537,-4016,-3511,-7523,-11801,-16573,-11553,-517,-4809.224062,-5012,-3.50323821,-9285,-19312,-7519,-7513,-22042,-2507,-2,-18,-17,-4,-13,-12,-2,-6,-10,-7,-2,-10,-4,-7,-10,-7,-4,-4,-8,-6,-19,-13,-4,-4,-12,-10,-4,-7,-1,-4,-5,-1537,-1541,-787,-794,-16,-27,-1194,-2359,-2353,-23,-24,-4,-1122
More than 3 months and up to 1 year,0,0,0,-1,-1,-1001,-1,-5,-3,-4,-4,-3,-2,-2,-2,-1,0,0,0,0,0,0,0,0,0,-9500,0,0,0,0,0,-4,-4,-1,-1,-1,-754,-2518,-21,-21,-23,-24,-34,-34,-15,-16,-16,-18,-18,-17,-18,-30,-15,-15,-26.50749229,-27,-24.28129107,-12,-12,-14,-14,-18,-17,-31,-17,-17,-18,-7,-9,-10,-9,-4,-5,-8,-3,-26,-24,-21,-19,-21,-18,-14,-12,-5,-790,-1556,-2322,-2316,-2314,-2336,-2344,-4699,-5856,-5857,-4336,-4332,-4662,-4653,-6310,-6299,-5129,-3953,-3719,-4640,-5254,-6285,-6225
(b) Long positions (+),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,802,4155,69,1194,808,66,58,41,85,207,115,124,49,3652,86,4701,691,132,62,326,1598,1590,5685,5047,128,10587,136,3150,1599,231,1364,1010,468,3427,10245,6205,388,4225,3772,5221,2392,252,1290,335,2272,333,5987,225,393,7089,987,319,2486,249,1337.16921,322,1205.573326,3307,6263,3723,2195,5186,226,173,228,130,165,120,185,392,90,2694,168,466,142,46,170,34,163,78,192,66,66,32,70,135,166,49,36,117,996,84,1030,604,223,57,1075,92,654,198,182,109,843,252,142,428,309
Up to 1 month,780,4140,53,1185,795,51,40,29,62,196,105,109,31,3635,72,4686,681,122,49,313,1588,1530,2175,5036,118,10577,126,3140,1590,221,1358,1007,464,673,5241,6201,384,4221,3768,5217,2387,246,1278,321,2254,311,5981,220,387,7081,978,311,2472,233,1330.561957,315,1200.73955,2797,5752,3216,2190,5179,217,162,216,115,158,112,182,384,83,2692,166,466,141,45,170,30,163,78,185,60,56,22,61,126,157,40,26,108,986,45,989,564,172,3,1019,36,602,150,135,71,794,216,108,402,265
More than 1 and up to 3 months,9,3,10,10,6,7,6,3,15,4,3,0,3,2,5,6,3,2,6,6,3,51,3500,0,0,0,2,5,7,9,4,3,4,2750,5000,0,0,0,0,0,0,0,4,4,17,16,0,0,1,1,1,0,9,10,4.7460042,5,0.33522797,503,505,502,0,2,0,1,4,8,6,6,1,6,5,3,2,1,1,1,0,4,0,0,0,0,1,1,0,0,0,0,1,7,8,0,5,4,0,4,13,22,22,22,11,11,21,19,21,3,13
More than 3 months and up to 1 year,13,13,6,0,7,8,12,9,9,6,7,15,15,15,9,8,8,7,7,7,7,9,10,10,10,10,9,6,1,1,1,0,0,4,4,4,4,4,4,5,5,6,8,9,1,5,5,6,5,8,8,8,5,7,1.86124968,3,4.49854794,7,5,5,5,5,8,10,7,7,2,2,2,2,2,0,0,0,0,0,0,0,0,0,7,7,9,9,9,9,9,9,9,2,2,39,35,36,52,50,44,34,30,25,36,28,28,17,13,24,31
3. Other (specify),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,5562,4164,2730,5373,5587,4140,5743,8108,5213,9236,7945,4673,6318,7194,4904,6613,8994,6274,7715,7136,4021,8741,9816,2932,9624,6972,3558,4379,8410,4498,8007,4187,3276,4140,4862,2508,5175,5504,1827,8628,8219,3438,3305,6106,4505,8447,4933,3426,9104,6679,3576,8298,6586,2819,7278.031962,6909,7581.837527,5407,5205,1937,7576,7622,4007,6892,6093,3870,4071,3288,3030,3842,3755,2442,6136,5097,1164,2581,3028,734,3170,3694,1924,4696,3630,2907,4892,5076,3640,4533,4887,4381,3843,4213,4557,4117,3595,5701,4710,7347,7571,5005,9242,7443,5835,5045,8138,8577,6885
Up to 1 month,5509,4164,2730,5325,5537,4091,5694,8057,5162,9184,7850,4579,6117,6804,4592,5823,8617,5930,5658,6799,3686,8364,9460,2622,7372,6026,3191,3996,8026,4186,7752,3866,2959,3767,4481,2187,4799,5123,1437,8293,7216,2888,2824,5568,3970,7834,4339,2837,8453,6019,2923,7946,5916,2165,6672.190081,6170,6866.191573,4697,4435,1216,6735,6740,3243,6208,4989,2917,2987,2498,2251,2981,3116,1724,5343,4381,584,2141,2552,431,2776,3296,1534,4246,3068,2502,4397,4629,3073,4062,4392,3956,3354,3813,4148,3626,3095,5109,3929,6822,7088,4607,8941,7238,5740,5041,8141,8545,6864
More than 1 and up to 3 months,52,0,0,0,0,0,0,0,0,0,0,0,51,112,52,519,162,115,1885,56,0,54,51,0,1890,630,53,164,164,157,102,53,0,53,54,0,0,55,56,55,553,164,106,53,0,55,53,0,117,119,300,58,181,195,133.5298236,73,0,0,69,18,151,405,260,100,511,448,550,97,1,82,-50,0,157,285,151,146,238,152,158,79,0,72,155,84,83,105,150,126,82,85,163,80,-4,80,78,247,341,177,198,204,202,205,95,4,-3,32,21
More than 3 months and up to 1 year,0,0,0,48,50,49,49,51,51,52,95,94,151,278,260,271,216,229,172,281,335,323,305,310,362,316,315,218,219,156,153,268,317,320,327,320,376,327,334,280,450,386,375,485,535,558,541,589,533,541,353,294,488,459,472.3120573,666,715.6459541,709,701,703,690,477,503,585,593,505,534,694,778,779,688,718,636,430,430,293,238,151,236,319,390,378,407,321,412,342,417,345,413,340,326,320,413,411,422,345,440,348,285,194,99,0,0,0,0,0,0
outflows related to repos (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,-6,0,0,0,1,0,0,0,0,0,1,-1,0,0,0,0,1,0,1,1,0,0,0,0,-1,0,2,0,1,-1,0,0,0,0,0,0,0,0,-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.050503559,0,0.325794494,0,0,46,50,3,5,16,25,24,121,90,5,-8,-77,-20,-14,-16,-2,7,0,0,0,0,-3,-2,0,6,5,23,66,96,22,8,1,-1,-4,-4,-7,-26,10,-5,8,12,25,17,23,3,-5,48,31
Up to 1 month,-6,0,0,0,1,0,0,0,0,0,1,-1,0,0,0,0,1,0,1,1,0,0,0,0,-1,0,2,0,1,-1,0,0,0,0,0,0,0,0,-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.050503559,0,0.325794494,0,0,28,50,3,5,-1,25,0,19,79,4,0,-17,-20,-14,-8,-2,7,0,0,0,0,-3,1,-1,2,5,4,0,55,22,8,1,-1,0,-2,-1,-15,10,-5,0,0,16,-3,23,-1,-2,16,10
More than 1 and up to 3 months,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,17,0,24,101,11,1,-4,-50,0,0,-8,0,0,0,0,0,0,0,-3,1,4,0,19,66,41,0,0,0,0,-4,-2,-6,-11,0,0,8,11,7,20,0,4,-3,32,21
More than 3 months and up to 1 year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
inflows related to reverse repos (+),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,5568,4165,2730,5373,5586,4140,5743,8108,5213,9236,7944,4674,6318,7194,4904,6614,8994,6274,7713,7135,4021,8740,9815,2931,9624,6972,3556,4378,8409,4499,8007,4187,3276,4140,4862,2507,5175,5504,1857,8628,8219,3438,3305,6106,4505,8447,4933,3426,9104,6679,3576,8298,6585,2819,7278.082466,6909,7581.511733,5407,5205,1891,7526,7619,4002,6876,6068,3847,3950,3198,3025,3850,3832,2463,6150,5113,1166,2574,3028,734,3170,3694,1927,4698,3630,2901,4887,5053,3574,4437,4865,4373,3842,4214,4561,4121,3602,5727,4700,7352,7563,4993,9217,7426,5812,5042,8143,8529,6854
Up to 1 month,5516,4165,2730,5325,5536,4090,5694,8057,5162,9184,7849,4580,6117,6804,4592,5824,8616,5930,5656,6798,3686,8364,9460,2621,7372,6026,3189,3996,8026,4186,7752,3866,2959,3767,4481,2187,4799,5123,1468,8292,7216,2888,2824,5568,3970,7834,4338,2837,8453,6019,2923,7946,5916,2165,6672.240585,6170,6865.865779,4697,4435,1188,6685,6737,3239,6209,4965,2917,2967,2419,2247,2981,3133,1744,5357,4389,586,2134,2552,431,2776,3296,1537,4245,3069,2500,4392,4625,3073,4007,4370,3948,3353,3814,4148,3628,3096,5124,3919,6827,7088,4607,8925,7241,5717,5042,8143,8529,6854
More than 1 and up to 3 months,52,0,0,0,0,0,0,0,0,0,0,0,51,112,52,519,162,115,1885,56,0,54,51,0,1890,630,53,164,164,157,102,53,0,53,54,0,0,55,56,55,553,164,106,53,0,55,53,0,117,119,300,58,181,195,133.5298236,73,0,0,69,0,151,405,260,83,510,425,449,85,0,86,0,0,157,294,150,146,238,152,158,79,0,75,154,80,83,86,84,85,82,85,163,80,0,82,84,258,341,177,190,193,195,185,95,0,0,0,0
More than 3 months and up to 1 year,0,0,0,48,50,49,49,51,51,52,95,94,151,278,260,271,216,229,172,281,335,323,305,310,362,316,315,218,219,156,153,268,317,320,327,320,376,327,334,280,450,386,375,485,535,558,541,589,533,541,353,294,488,459,472.3120573,666,715.6459541,709,701,703,690,477,503,585,593,505,534,694,778,783,699,718,636,430,430,293,238,151,236,319,390,378,407,321,412,342,417,345,413,340,326,320,413,411,422,345,440,348,285,193,97,0,0,0,0,0,0
trade credit (-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
